,광역시도,시군,pop,moon,hong,ahn
0,서울특별시,종로구,102566.0,42512.0,22325.0,22313.0
1,서울특별시,중구,,,,
2,서울특별시,용산구,148157.0,58081.0,35230.0,32109.0
3,서울특별시,성동구,148157.0,58081.0,35230.0,32109.0
4,서울특별시,광진구,,,,
5,서울특별시,동대문구,236092.0,98958.0,51631.0,53359.0
6,서울특별시,중랑구,265706.0,111450.0,56545.0,62778.0
7,서울특별시,성북구,,,,
8,서울특별시,강북구,,,,
9,서울특별시,도봉구,,,,
10,서울특별시,노원구,,,,
11,서울특별시,은평구,,,,
12,서울특별시,서대문구,,,,
13,서울특별시,마포구,,,,
14,서울특별시,양천구,,,,
15,서울특별시,강서구,,,,
16,서울특별시,구로구,,,,
17,서울특별시,금천구,,,,
18,서울특별시,영등포구,,,,
19,서울특별시,동작구,,,,
20,서울특별시,관악구,,,,
21,서울특별시,서초구,,,,
22,서울특별시,강남구,,,,
23,서울특별시,송파구,,,,
24,서울특별시,강동구,,,,
25,부산광역시,중구,,,,
26,부산광역시,서구,,,,
27,부산광역시,동구,,,,
28,부산광역시,영도구,78013.0,30094.0,25345.0,13082.0
29,부산광역시,부산진구,246124.0,95042.0,79545.0,40636.0
30,부산광역시,동래구,181098.0,67947.0,59616.0,30208.0
31,부산광역시,남구,,,,
32,부산광역시,북구,,,,
33,부산광역시,해운대구,,,,
34,부산광역시,기장군,94393.0,39412.0,26556.0,15909.0
35,부산광역시,사하구,94393.0,39412.0,26556.0,15909.0
36,부산광역시,금정구,,,,
37,부산광역시,강서구,,,,
38,부산광역시,연제구,,,,
39,부산광역시,수영구,,,,
40,부산광역시,사상구,,,,
41,대구광역시,중구,,,,
42,대구광역시,동구,,,,
43,대구광역시,서구,,,,
44,대구광역시,남구,,,,
45,대구광역시,북구,,,,
46,대구광역시,수성구,285528.0,64922.0,123074.0,43698.0
47,대구광역시,달서구,,,,
48,대구광역시,달성군,137920.0,31753.0,60032.0,21427.0
49,인천광역시,중구,69220.0,28030.0,16139.0,15405.0
50,인천광역시,동구,44672.0,16501.0,11446.0,10479.0
51,인천광역시,남구,254020.0,96338.0,60603.0,61034.0
52,인천광역시,연수구,254020.0,96338.0,60603.0,61034.0
53,인천광역시,남동구,,,,
54,인천광역시,부평구,,,,
55,인천광역시,계양구,,,,
56,인천광역시,서구,,,,
57,인천광역시,강화군,,,,
58,인천광역시,옹진군,,,,
59,광주광역시,동구,,,,
60,광주광역시,서구,,,,
61,광주광역시,남구,,,,
62,광주광역시,북구,,,,
63,광주광역시,광산구,248209.0,159119.0,3630.0,65402.0
64,대전광역시,동구,143823.0,57580.0,33015.0,34729.0
65,대전광역시,중구,,,,
66,대전광역시,서구,307774.0,133604.0,59593.0,70732.0
67,대전광역시,유성구,,,,
68,대전광역시,대덕구,118816.0,47933.0,25666.0,28723.0
69,울산광역시,중구,157051.0,56657.0,47625.0,26458.0
70,울산광역시,남구,219569.0,80662.0,63331.0,39040.0
71,울산광역시,동구,109054.0,44931.0,23701.0,19290.0
72,울산광역시,북구,122933.0,52058.0,26596.0,20115.0
73,울산광역시,울주군,136353.0,48486.0,42349.0,23617.0
74,세종특별자치시,세종특별자치시,136353.0,48486.0,42349.0,23617.0
75,경기도,수원시장안구,,,,
76,경기도,수원시권선구,,,,
77,경기도,수원시팔달구,,,,
78,경기도,수원시영통구,220307.0,105181.0,33354.0,46872.0
79,경기도,성남시수정구,,,,
80,경기도,성남시중원구,146801.0,62729.0,27896.0,36512.0
81,경기도,성남시분당구,,,,
82,경기도,의정부시,270404.0,110580.0,57027.0,65003.0
83,경기도,안양시만안구,,,,
84,경기도,안양시동안구,,,,
85,경기도,부천시,,,,
86,경기도,광명시,218795.0,97959.0,39081.0,51958.0
87,경기도,평택시,,,,
88,경기도,양주시,121344.0,46286.0,29739.0,28469.0
89,경기도,동두천시,,,,
90,경기도,안산시상록구,226266.0,98564.0,39723.0,55067.0
91,경기도,안산시단원구,,,,
92,경기도,고양시덕양구,287087.0,120063.0,55157.0,61581.0
93,경기도,고양시일산동구,,,,
94,경기도,고양시일산서구,192610.0,85919.0,35147.0,41563.0
95,경기도,과천시,,,,
96,경기도,의왕시,103913.0,43869.0,21218.0,23602.0
97,경기도,구리시,,,,
98,경기도,남양주시,397972.0,165079.0,86026.0,92048.0
99,경기도,오산시,,,,
100,경기도,화성시,386002.0,176940.0,69014.0,84967.0
101,경기도,시흥시,,,,
102,경기도,군포시,,,,
103,경기도,하남시,,,,
