,유치원명,대표자,원장,설립일자,설립유형,개원일자,담당행정기관,전화번호,홈페이지,운영시간,주소,제공서비스,3세반학급,4세반학급,5세반학급,3~4세반학급,4~5세반학급,3~5세반학급,특수/장애반학급,3세반학생수,4세반학생수,5세반학생수,3~4세반학생수,4~5세반학생수,3~5세반학생수,특수/장애반학생수,원장수,원감수,수석교사,보직교사,교사,특수교사,보건교사,영양교사,기간제교원,사무직원,수석교사,1급정교사,2급정교사,준교사,1년미만,1년이상2년미만,2년이상4년미만,4년이상6년미만,6년이상,평가(인증)년월,lat,lng
0,가람유치원,박민정,이형미,1986-11-27,사립(사인),1987-03-10,서울특별시교육청 / 강동송파교육지원청,02-427-3151,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강동구 상암로63길 39,['방과후과정'],0,2,3,0,0,0,0,0,62,95,0,0,0,0,1,0,0,0,8,0,0,0,0,5,0,2,6,6,3,5,0,0,0,2014년 10월,37.5482207,127.1538415
1,가명유치원,염수정,노현경,1956-04-15,사립(법인),1956-04-15,서울특별시교육청 / 중부교육지원청,02-362-7593,등록된 홈페이지가 없습니다.,09 : 00 ~ 14 : 00,서울특별시 중구 청파로 447-1,['해당없음'],1,1,1,0,0,0,0,22,28,28,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,3,3,2,0,1,0,0,2016년 09월,37.5589521,126.9670169
2,강남유정유치원,"김지은, 박민정",박민정,2018-01-31,사립(사인),2018-03-01,서울특별시교육청 / 강남서초교육지원청,02-2226-9500,http://www.gnyujung.com,09 : 00 ~ 19 : 00,서울특별시 강남구 광평로34길 17,['방과후과정'],5,3,2,0,0,0,0,85,67,59,0,0,0,0,1,1,0,0,16,0,0,0,1,15,0,2,14,14,16,0,0,0,0,-,37.4795828,127.0885477
3,강남유치원,피영민,박춘옥,1985-02-01,사립(사인),1985-02-01,서울특별시교육청 / 강남서초교육지원청,02-546-1673,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 30,서울특별시 강남구 선릉로129길 31,['방과후과정'],1,1,2,0,0,0,0,29,31,66,0,0,0,0,1,1,0,0,8,0,0,0,0,8,0,2,6,6,3,2,1,1,2,2016년 09월,37.5154476,127.0390091
4,강남유치원,정지건,이성미,1971-03-30,사립(사인),1971-03-30,서울특별시교육청 / 동작관악교육지원청,02-813-7122,등록된 홈페이지가 없습니다.,08 : 50 ~ 18 : 30,서울특별시 동작구 상도로41가길 13,['방과후과정'],1,1,1,0,0,0,0,24,17,23,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,4,4,1,3,1,1,0,2016년 10월,37.5035024,126.9496786
5,강동유정유치원,김지은,백혜진,2012-11-09,사립(사인),2013-03-01,서울특별시교육청 / 강동송파교육지원청,428-4466,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강동구 상일로10길 41,['방과후과정'],5,6,5,0,0,0,0,100,160,140,0,0,0,0,1,1,0,0,23,0,0,1,0,19,0,5,18,18,11,6,4,3,0,2014년 11월,37.5505854,127.1749825
6,강변유치원,장병일,장연주,1979-03-09,사립(법인),1979-03-09,서울특별시교육청 / 중부교육지원청,02-792-2652,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 00,서울특별시 용산구 이촌로84길 9-7,['방과후과정'],1,1,1,0,0,0,0,21,13,26,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,4,4,1,1,2,1,0,2015년 10월,37.51833570000001,126.977232
7,강서유치원,박향순,박향순,1982-10-06,사립(사인),1982-10-06,서울특별시교육청 / 강서양천교육지원청,02-2602-5225,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강서구 까치산로 116,['방과후과정'],1,3,3,0,0,0,0,13,58,79,0,0,0,0,1,0,0,0,12,0,0,0,0,7,0,3,8,8,3,1,3,4,1,2016년 09월,37.5481774,126.8500391
8,강일늘사랑유치원,이복임,이복임,2012-12-04,사립(사인),2013-03-04,서울특별시교육청 / 강동송파교육지원청,02-3426-8700,http://alwayslove.co.kr,09 : 00 ~ 19 : 30,서울특별시 강동구 아리수로98길 62,['방과후과정'],3,3,4,0,0,0,0,62,66,96,0,0,0,0,1,0,0,0,16,0,0,0,8,0,0,1,15,15,4,0,8,4,0,2014년 11월,37.5645516,127.1778999
9,개동유치원,재단법인예수교대한성결교회유지재단,이정현,1999-12-28,사립(법인),1999-12-28,서울특별시교육청 / 성북강북교육지원청,02-915-5721,http://www.kaedong.kidone.com,09 : 00 ~ 17 : 00,서울특별시 성북구 보국문로 143,['방과후과정'],2,2,3,0,0,0,0,35,42,55,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,8,8,2,1,2,1,3,2016년 09월,37.6157955,127.0049727
10,개봉샛별유치원,권은희,권은희,1984-06-11,사립(법인),1984-06-11,서울특별시교육청 / 남부교육지원청,02-2615-8812,http://cafe.daum.net/gooddaddy,09 : 00 ~ 18 : 00,서울특별시 구로구 개봉로18길 11,['방과후과정'],1,1,1,0,0,0,0,19,25,24,0,0,0,0,1,1,0,0,5,0,0,0,0,2,0,1,4,4,2,3,0,0,0,2014년 01월,37.491626,126.8568265
11,건영유치원,정 윤석,안 진아,1985-02-21,사립(법인),1985-02-21,서울특별시교육청 / 동작관악교육지원청,02-858-4130,http://www.gunykid.com,09 : 00 ~ 18 : 10,서울특별시 관악구 조원로 114,['방과후과정'],4,5,5,0,0,0,0,89,127,147,0,0,0,0,1,1,0,0,19,0,0,0,0,27,0,8,12,12,4,4,4,1,7,2017년 10월,37.4848357,126.9149082
