,유치원명,대표자,원장,설립일자,설립유형,개원일자,담당행정기관,전화번호,홈페이지,운영시간,주소,제공서비스,3세반학급,4세반학급,5세반학급,3~4세반학급,4~5세반학급,3~5세반학급,특수/장애반학급,3세반학생수,4세반학생수,5세반학생수,3~4세반학생수,4~5세반학생수,3~5세반학생수,특수/장애반학생수,원장수,원감수,수석교사,보직교사,교사,특수교사,보건교사,영양교사,기간제교원,사무직원,수석교사.1,1급정교사,2급정교사,준교사,1년미만,1년이상2년미만,2년이상4년미만,4년이상6년미만,6년이상,평가(인증)년월,lat,lng,구별,총교사수,총학생수,비율
0,가람유치원,박민정,이형미,1986-11-27,사립(사인),1987-03-10,서울특별시교육청 / 강동송파교육지원청,02-427-3151,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강동구 상암로63길 39,['방과후과정'],0,2,3,0,0,0,0,0.0,62.0,95.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,8.0,0,0,0,0.0,5,0,2,6,6,3,5,0,0,0,2014년 10월,37.54822070000001,127.1538415,강동구,8.0,157.0,19.625
1,가명유치원,염수정,노현경,1956-04-15,사립(법인),1956-04-15,서울특별시교육청 / 중부교육지원청,02-362-7593,등록된 홈페이지가 없습니다.,09 : 00 ~ 14 : 00,서울특별시 중구 청파로 447-1,['해당없음'],1,1,1,0,0,0,0,22.0,28.0,28.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,3.0,0,0,0,0.0,6,0,0,3,3,2,0,1,0,0,2016년 09월,37.5589521,126.9670169,중구,3.0,78.0,26.0
2,강남유정유치원,"김지은, 박민정",박민정,2018-01-31,사립(사인),2018-03-01,서울특별시교육청 / 강남서초교육지원청,02-2226-9500,http://www.gnyujung.com,09 : 00 ~ 19 : 00,서울특별시 강남구 광평로34길 17,['방과후과정'],5,3,2,0,0,0,0,85.0,67.0,59.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,16.0,0,0,0,1.0,15,0,2,14,14,16,0,0,0,0,-,37.479582799999996,127.08854769999999,강남구,17.0,211.0,12.411764705882353
3,강남유치원,피영민,박춘옥,1985-02-01,사립(사인),1985-02-01,서울특별시교육청 / 강남서초교육지원청,02-546-1673,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 30,서울특별시 강남구 선릉로129길 31,['방과후과정'],1,1,2,0,0,0,0,29.0,31.0,66.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,8.0,0,0,0,0.0,8,0,2,6,6,3,2,1,1,2,2016년 09월,37.5154476,127.0390091,강남구,8.0,126.0,15.75
4,강남유치원,정지건,이성미,1971-03-30,사립(사인),1971-03-30,서울특별시교육청 / 동작관악교육지원청,02-813-7122,등록된 홈페이지가 없습니다.,08 : 50 ~ 18 : 30,서울특별시 동작구 상도로41가길 13,['방과후과정'],1,1,1,0,0,0,0,24.0,17.0,23.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,6.0,0,0,0,0.0,0,0,1,4,4,1,3,1,1,0,2016년 10월,37.503502399999995,126.94967859999998,동작구,6.0,64.0,10.666666666666666
5,강동유정유치원,김지은,백혜진,2012-11-09,사립(사인),2013-03-01,서울특별시교육청 / 강동송파교육지원청,428-4466,등록된 홈페이지가 없습니다.,09 : 00 ~ 19 : 00,서울특별시 강동구 상일로10길 41,['방과후과정'],5,6,5,0,0,0,0,100.0,160.0,140.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,23.0,0,0,1,0.0,19,0,5,18,18,11,6,4,3,0,2014년 11월,37.550585399999996,127.1749825,강동구,23.0,400.0,17.391304347826086
6,강변유치원,장병일,장연주,1979-03-09,사립(법인),1979-03-09,서울특별시교육청 / 중부교육지원청,02-792-2652,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 00,서울특별시 용산구 이촌로84길 9-7,['방과후과정'],1,1,1,0,0,0,0,21.0,13.0,26.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0,0,0,0.0,0,0,1,4,4,1,1,2,1,0,2015년 10월,37.51833570000001,126.977232,용산구,5.0,60.0,12.0
7,강서유치원,박향순,박향순,1982-10-06,사립(사인),1982-10-06,서울특별시교육청 / 강서양천교육지원청,02-2602-5225,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강서구 까치산로 116,['방과후과정'],1,3,3,0,0,0,0,13.0,58.0,79.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,12.0,0,0,0,0.0,7,0,3,8,8,3,1,3,4,1,2016년 09월,37.5481774,126.85003909999999,강서구,12.0,150.0,12.5
8,강일늘사랑유치원,이복임,이복임,2012-12-04,사립(사인),2013-03-04,서울특별시교육청 / 강동송파교육지원청,02-3426-8700,http://alwayslove.co.kr,09 : 00 ~ 19 : 30,서울특별시 강동구 아리수로98길 62,['방과후과정'],3,3,4,0,0,0,0,62.0,66.0,96.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,16.0,0,0,0,8.0,0,0,1,15,15,4,0,8,4,0,2014년 11월,37.5645516,127.1778999,강동구,24.0,224.0,9.333333333333334
9,개동유치원,재단법인예수교대한성결교회유지재단,이정현,1999-12-28,사립(법인),1999-12-28,서울특별시교육청 / 성북강북교육지원청,02-915-5721,http://www.kaedong.kidone.com,09 : 00 ~ 17 : 00,서울특별시 성북구 보국문로 143,['방과후과정'],2,2,3,0,0,0,0,35.0,42.0,55.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,9.0,0,0,0,0.0,0,0,1,8,8,2,1,2,1,3,2016년 09월,37.615795500000004,127.0049727,성북구,9.0,132.0,14.666666666666666
10,개봉샛별유치원,권은희,권은희,1984-06-11,사립(법인),1984-06-11,서울특별시교육청 / 남부교육지원청,02-2615-8812,http://cafe.daum.net/gooddaddy,09 : 00 ~ 18 : 00,서울특별시 구로구 개봉로18길 11,['방과후과정'],1,1,1,0,0,0,0,19.0,25.0,24.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,5.0,0,0,0,0.0,2,0,1,4,4,2,3,0,0,0,2014년 01월,37.491626000000004,126.8568265,구로구,5.0,68.0,13.6
11,건영유치원,정 윤석,안 진아,1985-02-21,사립(법인),1985-02-21,서울특별시교육청 / 동작관악교육지원청,02-858-4130,http://www.gunykid.com,09 : 00 ~ 18 : 10,서울특별시 관악구 조원로 114,['방과후과정'],4,5,5,0,0,0,0,89.0,127.0,147.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,19.0,0,0,0,0.0,27,0,8,12,12,4,4,4,1,7,2017년 10월,37.484835700000005,126.9149082,관악구,19.0,363.0,19.105263157894736
12,"경기유치원
                  
                  	(폐원)",서신덕,이순화,1987-03-03,사립(사인),1987-03-03,서울특별시교육청 / 강남서초교육지원청,02-3411-8881,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강남구 삼성로 14,['방과후과정'],1,1,2,0,0,0,0,23.0,18.0,43.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,4.0,0,0,0,0.0,0,0,1,3,3,0,4,0,0,1,2012년 10월,37.48553709999999,127.0714351,강남구,4.0,84.0,21.0
13,경동유치원,김경신,김경신,2000-12-01,사립(사인),2000-12-01,서울특별시교육청 / 성동광진교육지원청,02-2298-2277,http://www.kdchild.com,09 : 00 ~ 18 : 00,서울특별시 성동구 금호로 100,['방과후과정'],2,2,2,0,0,0,0,48.0,78.0,58.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,13.0,0,0,0,0.0,2,0,3,11,11,2,4,5,0,3,2014년 10월,37.5542479,127.02575039999999,성동구,14.0,184.0,13.142857142857142
14,경복유치원,김덕옥,경복유치원,1996-04-22,사립(사인),1996-04-22,서울특별시교육청 / 서부교육지원청,02-396-8384,http://www.kyung-bok.co.kr,09 : 00 ~ 20 : 00,서울특별시 서대문구 세검정로1길 95,['방과후과정'],2,2,2,0,0,0,0,40.0,50.0,49.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,11.0,0,0,0,0.0,0,0,0,11,11,7,3,0,1,0,2016년 10월,37.59530529999999,126.9447195,서대문구,11.0,139.0,12.636363636363637
15,경성유치원,유광열,유광열,1993-05-23,사립(사인),1993-05-23,서울특별시교육청 / 강서양천교육지원청,02-2648-4997,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 양천구 목동로3길 57,['방과후과정'],2,3,3,0,0,0,0,48.0,57.0,72.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,11.0,0,0,0,0.0,1,0,1,10,10,6,0,1,4,0,2016년 10월,37.5104441,126.8640104,양천구,11.0,177.0,16.09090909090909
16,경원유치원,송미정,김주리,1982-12-27,사립(사인),2002-03-01,서울특별시교육청 / 성동광진교육지원청,02-446-9777,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 광진구 영화사로 89,['방과후과정'],1,1,1,0,0,0,0,23.0,31.0,32.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,5.0,0,0,0,0.0,3,0,0,6,6,2,2,2,0,0,2015년 09월,37.554856799999996,127.09607820000001,광진구,6.0,86.0,14.333333333333334
17,경은유치원,최한형,최희경,1982-12-27,사립(사인),1982-12-27,서울특별시교육청 / 성북강북교육지원청,02-993-2064,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 강북구 노해로21길 12,['방과후과정'],1,2,1,0,0,0,0,7.0,29.0,22.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0,0,0,0.0,2,0,0,5,5,2,1,0,0,2,2015년 09월,37.6440376,127.02225020000002,강북구,5.0,58.0,11.6
18,경하유치원,이명희,이명희,1983-03-02,사립(사인),1983-03-02,서울특별시교육청 / 성동광진교육지원청,02-466-2880,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 광진구 동일로72길 9,"['방과후과정', '아침돌봄']",0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1,0,0.0,0.0,3.0,0,0,0,3.0,0,0,1,2,2,2,0,0,1,0,2017년 09월,37.5660474,127.07819840000002,광진구,6.0,25.0,4.166666666666667
19,경희유치원,윤경숙,윤경숙,1961-03-24,사립(법인),1961-03-24,서울특별시교육청 / 동부교육지원청,02-967-0907,http://www.khu.kg.kr,09 : 00 ~ 19 : 00,서울특별시 동대문구 경희대로 26,['방과후과정'],2,2,2,0,0,0,0,41.0,50.0,56.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,3.0,0,0,0,3.0,9,0,3,3,3,0,0,1,1,3,2014년 09월,37.5953632,127.05276119999999,동대문구,7.0,147.0,21.0
20,계상유치원,송은희,송은희,2002-10-11,사립(법인),2002-10-11,서울특별시교육청 / 강서양천교육지원청,02-2625-5608,http://kyesang.happyihome.com,09 : 00 ~ 20 : 00,서울특별시 양천구 남부순환로86길 22,['방과후과정'],2,3,2,0,0,0,0,39.0,58.0,54.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,10.0,0,0,1,2.0,3,0,5,5,5,5,1,3,1,2,2017년 09월,37.5124317,126.83981499999999,양천구,12.0,151.0,12.583333333333334
21,계성유치원,천주교쌘뽈수도원유지재단,배선희,1966-12-03,사립(법인),1967-03-09,서울특별시교육청 / 중부교육지원청,02-712-0826,http://www.gskg.kr,08 : 50 ~ 13 : 30,서울특별시 용산구 효창원로15길 15,['해당없음'],0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,1,1,0.0,1.0,15.0,0,1,1,1.0,5,0,4,12,12,3,3,5,3,4,2015년 11월,37.5360594,126.9528915,용산구,17.0,238.0,14.0
22,고덕유치원,백은희,김진숙,2007-05-07,사립(법인),2007-05-07,서울특별시교육청 / 강동송파교육지원청,02-440-5302,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 30,서울특별시 강동구 구천면로 645,['방과후과정'],1,2,1,0,0,0,0,21.0,38.0,28.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,4.0,0,0,0,2.0,1,0,2,4,4,1,1,0,0,2,2016년 09월,37.550831099999996,127.1690836,강동구,6.0,87.0,14.5
23,고덕한울유치원,이종영,박문선,2012-04-07,사립(사인),2012-04-09,서울특별시교육청 / 강동송파교육지원청,02-3427-3939,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 강동구 양재대로 1706,['방과후과정'],2,2,1,0,0,0,0,40.0,42.0,37.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,9.0,0,0,0,0.0,0,0,0,9,9,0,3,3,1,2,2016년 11월,37.5578508,127.1459139,강동구,9.0,119.0,13.222222222222221
24,고운유치원,김은희,김은희,1992-12-03,사립(사인),1992-12-03,서울특별시교육청 / 북부교육지원청,02-948-6700,등록된 홈페이지가 없습니다.,09 : 00 ~ 22 : 00,서울특별시 노원구 동일로208길 34,"['방과후과정', '온종일돌봄']",3,3,3,0,0,0,0,63.0,51.0,72.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,17.0,0,0,0,0.0,0,0,5,12,12,9,3,1,1,5,2017년 05월,37.6562713,127.06240690000001,노원구,17.0,186.0,10.941176470588236
25,공능유치원,이도형,권명희,1983-10-21,사립(사인),1981-02-23,서울특별시교육청 / 북부교육지원청,02-972-0481,http://kongneungkids.ddorongi.co.kr,09 : 00 ~ 18 : 30,서울특별시 노원구 동일로186길 27,['방과후과정'],1,1,1,0,0,0,0,11.0,14.0,16.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,4.0,0,0,0,0.0,4,0,0,4,4,4,0,0,0,0,2016년 10월,37.62512279999999,127.07401540000001,노원구,4.0,41.0,10.25
26,공항제일유치원,고승현,이민영,1997-05-01,사립(사인),1997-05-01,서울특별시교육청 / 강서양천교육지원청,02-2662-3744,등록된 홈페이지가 없습니다.,09 : 00 ~ 20 : 00,서울특별시 강서구 개화동로23길 100,['방과후과정'],0,0,0,1,1,0,0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,1,0,0.0,0.0,6.0,0,0,1,0.0,2,0,1,5,5,0,0,2,3,2,2016년 10월,37.5651879,126.8106632,강서구,6.0,80.0,13.333333333333334
27,광남유치원,목원균,김춘자,1991-02-09,사립(사인),1991-02-09,서울특별시교육청 / 성동광진교육지원청,02-455-6774,http://kwangnam.kidswon.com,09 : 00 ~ 19 : 00,서울특별시 광진구 아차산로70길 40,['방과후과정'],2,2,2,0,0,0,0,48.0,66.0,65.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,11.0,0,0,0,0.0,0,0,1,10,10,5,4,0,1,1,2017년 10월,37.540676399999995,127.098826,광진구,11.0,179.0,16.272727272727273
28,광영유치원,학교법인 광영학원,손영경,1995-03-02,사립(법인),1995-03-02,서울특별시교육청 / 강서양천교육지원청,02-2603-6235,등록된 홈페이지가 없습니다.,09 : 00 ~ 18 : 00,서울특별시 양천구 남부순환로30길 17,['방과후과정'],2,2,1,0,0,0,0,31.0,37.0,34.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,8.0,0,0,0,0.0,0,0,1,7,7,1,1,3,2,1,2016년 09월,37.53779,126.8241074,양천구,8.0,102.0,12.75
29,광운유치원,김미선,김미선,1967-03-01,사립(법인),1967-03-01,서울특별시교육청 / 성북강북교육지원청,02-915-0903,http://www.kwangwoon.or.kr,09 : 00 ~ 17 : 00,서울특별시 성북구 장월로42길 9,['방과후과정'],1,1,1,0,0,0,0,13.0,18.0,23.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,3.0,0,0,0,0.0,1,0,1,2,2,0,0,0,1,2,2014년 10월,37.619073799999995,127.05387179999998,성북구,3.0,54.0,18.0
30,광장유치원,홍성란,홍성란,1983-09-01,사립(법인),1983-09-01,서울특별시교육청 / 성동광진교육지원청,02-455-5016,등록된 홈페이지가 없습니다.,09 : 30 ~ 19 : 00,서울특별시 광진구 광장로7길 17,['방과후과정'],1,1,1,0,0,0,0,24.0,24.0,29.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0,0,0,1.0,0,0,2,3,3,1,0,2,0,2,2015년 11월,37.5483874,127.1052041,광진구,6.0,77.0,12.833333333333334
31,구강사금강유치원,김영춘,박송란,2007-11-20,사립(법인),2008-03-03,서울특별시교육청 / 강동송파교육지원청,02-471-7792,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 00,서울특별시 강동구 천중로 64,['방과후과정'],2,2,2,0,0,0,0,47.0,46.0,47.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,9.0,0,0,1,0.0,5,0,3,6,6,2,2,3,0,3,2016년 09월,37.544818400000004,127.1288199,강동구,9.0,140.0,15.555555555555555
32,구룡유치원,이정근,이경남,1994-03-01,사립(사인),1994-03-01,서울특별시교육청 / 강남서초교육지원청,02-577-1986,http://www.happyguryung.com/,09 : 00 ~ 19 : 00,서울특별시 서초구 논현로5길 31-11,['방과후과정'],1,1,2,0,0,0,0,26.0,30.0,55.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,5.0,0,0,1,3.0,6,0,1,5,5,1,3,1,0,2,2016년 10월,37.471176899999996,127.0489979,서초구,9.0,111.0,12.333333333333334
33,국제유치원,김영무,김애영,1990-09-05,사립(사인),1990-09-05,서울특별시교육청 / 강서양천교육지원청,02-3662-7404,등록된 홈페이지가 없습니다.,09 : 00 ~ 17 : 30,서울특별시 강서구 양천로30길 4,['방과후과정'],2,2,2,0,0,0,0,40.0,47.0,43.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,9.0,0,0,0,3.0,3,0,4,5,5,2,1,1,4,1,2015년 10월,37.5704783,126.8229382,강서구,12.0,130.0,10.833333333333334
34,굿프랜드유치원,허숙희,정은우,2014-09-05,사립(사인),2015-03-04,서울특별시교육청 / 남부교육지원청,02-847-3490,http://cafe.navet.com.gfkindergarten,09 : 00 ~ 17 : 00,서울특별시 영등포구 대방천로 180,['방과후과정'],2,2,2,0,0,0,0,38.0,25.0,50.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,10.0,0,0,1,1.0,2,0,0,10,10,3,6,2,0,0,2016년 09월,37.497986700000006,126.9109271,영등포구,11.0,113.0,10.272727272727273
35,궁전유치원,백금옥,백금옥,1997-02-14,사립(사인),1997-02-14,서울특별시교육청 / 서부교육지원청,02-383-1667,http://kj16667.happyihome.com,09 : 00 ~ 17 : 00,서울특별시 은평구 갈현로33길 24,"['방과후과정', '온종일돌봄']",1,1,1,0,0,0,0,10.0,7.0,20.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,5.0,0,0,0,0.0,0,0,0,5,5,2,0,1,0,2,2015년 10월,37.62201829999999,126.91416570000001,은평구,5.0,37.0,7.4
